25420.0, {'360082': -0.4642857, '360086': -0.5535714, 'GS_cluster_2415878664_254486231_359566_359576': -0.26339287}, {'360082': 1, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 6, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25430.0, {'360082': -0.64285713, '360086': -0.98660713, 'GS_cluster_2415878664_254486231_359566_359576': -0.14285715}, {'360082': 1, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25440.0, {'360082': -0.04464286, '360086': -1.4330357, 'GS_cluster_2415878664_254486231_359566_359576': -0.40625}, {'360082': 3, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 3, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25450.0, {'360082': 0.0, '360086': -1.8794643, 'GS_cluster_2415878664_254486231_359566_359576': -0.6785714}, {'360082': 0, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 0, '360086': 10, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25460.0, {'360082': 0.0, '360086': -0.16964285, 'GS_cluster_2415878664_254486231_359566_359576': -0.04464286}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25470.0, {'360082': -0.026785715, '360086': -0.21428572, 'GS_cluster_2415878664_254486231_359566_359576': -0.11160714}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25480.0, {'360082': -0.008928572, '360086': -0.3125, 'GS_cluster_2415878664_254486231_359566_359576': -0.42857143}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 1, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25490.0, {'360082': -0.116071425, '360086': -0.004464286, 'GS_cluster_2415878664_254486231_359566_359576': -0.45535713}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 3, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25500.0, {'360082': -0.26785713, '360086': -0.035714287, 'GS_cluster_2415878664_254486231_359566_359576': -0.8035714}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 10}, 
25510.0, {'360082': -0.4642857, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.9464286}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 6, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25520.0, {'360082': -0.11160714, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.2633928}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 8}, 
25530.0, {'360082': -0.25892857, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.6741072}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 5, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 10}, 
25540.0, {'360082': -0.3392857, '360086': -0.013392857, 'GS_cluster_2415878664_254486231_359566_359576': -0.22321428}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25550.0, {'360082': -0.42410713, '360086': -0.20982143, 'GS_cluster_2415878664_254486231_359566_359576': -0.17857143}, {'360082': 4, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 5, '360086': 6, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25560.0, {'360082': -0.4642857, '360086': -0.5401786, 'GS_cluster_2415878664_254486231_359566_359576': -0.35714287}, {'360082': 3, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 8, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25570.0, {'360082': -0.4419643, '360086': -0.76785713, 'GS_cluster_2415878664_254486231_359566_359576': -0.57589287}, {'360082': 4, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 5, '360086': 8, 'GS_cluster_2415878664_254486231_359566_359576': 5}, 
25580.0, {'360082': -0.19196428, '360086': -0.86160713, 'GS_cluster_2415878664_254486231_359566_359576': -0.82589287}, {'360082': 1, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 2, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25590.0, {'360082': -0.3125, '360086': -1.0848215, 'GS_cluster_2415878664_254486231_359566_359576': -0.78125}, {'360082': 4, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 5, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 8}, 
25600.0, {'360082': -0.4732143, '360086': -1.3080357, 'GS_cluster_2415878664_254486231_359566_359576': -1.0}, {'360082': 3, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 4, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 13}, 
