57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': -0.0625}, {'gneJ207': 1}, {'gneJ207': 4}, 
57660.0, {'gneJ207': -0.18303572}, {'gneJ207': 3}, {'gneJ207': 6}, 
57670.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 1}, 
57680.0, {'gneJ207': -0.09821428}, {'gneJ207': 1}, {'gneJ207': 2}, 
57690.0, {'gneJ207': -0.22767857}, {'gneJ207': 2}, {'gneJ207': 5}, 
57700.0, {'gneJ207': -0.54464287}, {'gneJ207': 3}, {'gneJ207': 8}, 
57710.0, {'gneJ207': -0.23214285}, {'gneJ207': 2}, {'gneJ207': 2}, 
57720.0, {'gneJ207': -0.16964285}, {'gneJ207': 1}, {'gneJ207': 2}, 
57730.0, {'gneJ207': -0.18303572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57740.0, {'gneJ207': -0.3125}, {'gneJ207': 5}, {'gneJ207': 6}, 
57750.0, {'gneJ207': -0.7589286}, {'gneJ207': 11}, {'gneJ207': 13}, 
57760.0, {'gneJ207': -1.09375}, {'gneJ207': 16}, {'gneJ207': 19}, 
57770.0, {'gneJ207': -1.9553572}, {'gneJ207': 16}, {'gneJ207': 22}, 
57780.0, {'gneJ207': -2.5357144}, {'gneJ207': 14}, {'gneJ207': 20}, 
57790.0, {'gneJ207': -3.21875}, {'gneJ207': 14}, {'gneJ207': 20}, 
57800.0, {'gneJ207': -2.732143}, {'gneJ207': 13}, {'gneJ207': 13}, 
57810.0, {'gneJ207': -3.34375}, {'gneJ207': 13}, {'gneJ207': 14}, 
57820.0, {'gneJ207': -3.482143}, {'gneJ207': 11}, {'gneJ207': 13}, 
57830.0, {'gneJ207': -3.3660715}, {'gneJ207': 11}, {'gneJ207': 14}, 
57840.0, {'gneJ207': -3.2410715}, {'gneJ207': 9}, {'gneJ207': 15}, 
57850.0, {'gneJ207': -3.075893}, {'gneJ207': 7}, {'gneJ207': 15}, 
57860.0, {'gneJ207': -1.8169643}, {'gneJ207': 5}, {'gneJ207': 7}, 
