58310.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58320.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58330.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58340.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58350.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58360.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58370.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58380.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58390.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58400.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58410.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58420.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58430.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58440.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58450.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58460.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58470.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58480.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58490.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58500.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58510.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58520.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58530.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58540.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58550.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58560.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58570.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58580.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58590.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58600.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58610.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
58620.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 32}, 
58630.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 29}, 
58640.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 32}, 
58650.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58660.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58670.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58680.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58690.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58700.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58710.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58720.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58730.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
58740.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
