57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': -0.04464286}, {'gneJ207': 1}, {'gneJ207': 2}, 
57640.0, {'gneJ207': -0.16964285}, {'gneJ207': 2}, {'gneJ207': 3}, 
57650.0, {'gneJ207': -0.45089287}, {'gneJ207': 4}, {'gneJ207': 11}, 
57660.0, {'gneJ207': -1.0982143}, {'gneJ207': 6}, {'gneJ207': 18}, 
57670.0, {'gneJ207': -2.09375}, {'gneJ207': 10}, {'gneJ207': 26}, 
57680.0, {'gneJ207': -3.4107144}, {'gneJ207': 13}, {'gneJ207': 34}, 
57690.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 42}, 
57700.0, {'gneJ207': -3.8526785}, {'gneJ207': 16}, {'gneJ207': 33}, 
57710.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 38}, 
57720.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 41}, 
57730.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 49}, 
57740.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 52}, 
57750.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 54}, 
57760.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 57}, 
57770.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 60}, 
57780.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 62}, 
57790.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 62}, 
57800.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 62}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
57820.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 64}, 
57830.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 65}, 
57840.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 65}, 
57850.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 65}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 65}, 
57870.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 58}, 
57880.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 58}, 
57890.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 58}, 
57900.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 58}, 
57910.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 53}, 
57920.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 53}, 
57930.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
57940.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
57950.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
57960.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
57970.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
57980.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
57990.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
58000.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
58010.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
58020.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
