57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': -0.05357143}, {'gneJ207': 1}, {'gneJ207': 2}, 
57640.0, {'gneJ207': -0.20089285}, {'gneJ207': 2}, {'gneJ207': 4}, 
57650.0, {'gneJ207': -0.5}, {'gneJ207': 3}, {'gneJ207': 9}, 
57660.0, {'gneJ207': -1.1205357}, {'gneJ207': 5}, {'gneJ207': 17}, 
57670.0, {'gneJ207': -2.0848215}, {'gneJ207': 9}, {'gneJ207': 24}, 
57680.0, {'gneJ207': -3.357143}, {'gneJ207': 12}, {'gneJ207': 33}, 
57690.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 40}, 
57700.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 46}, 
57710.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 50}, 
57720.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 54}, 
57730.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 59}, 
57740.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 60}, 
57750.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 60}, 
57760.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 65}, 
57770.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57780.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57790.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57800.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57820.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57830.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57840.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57850.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57870.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57880.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57890.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57900.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57910.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57920.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57930.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57940.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57950.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57960.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57970.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57980.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57990.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58000.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58010.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58020.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58030.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58040.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58050.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58060.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58070.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58080.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58090.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58100.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58110.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58120.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58130.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58140.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58150.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58160.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58170.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58180.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58190.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58200.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58210.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58220.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58230.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58240.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58250.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58260.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58270.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58280.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58290.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58300.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58310.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58320.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58330.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58340.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58350.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58360.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58370.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58380.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58390.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58400.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58410.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58420.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58430.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58440.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58450.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58460.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58470.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58480.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58490.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58500.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58510.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58520.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58530.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58540.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58550.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58560.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58570.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58580.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58590.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58600.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58610.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58620.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58630.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58640.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58650.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58660.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58670.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58680.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58690.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58700.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58710.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58720.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58730.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58740.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58750.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58760.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58770.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58780.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58790.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58800.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58810.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58820.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58830.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58840.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58850.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58860.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
58870.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
58880.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 62}, 
