57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': -0.06696428}, {'gneJ207': 1}, {'gneJ207': 2}, 
57640.0, {'gneJ207': -0.20089285}, {'gneJ207': 2}, {'gneJ207': 4}, 
57650.0, {'gneJ207': -0.5}, {'gneJ207': 3}, {'gneJ207': 9}, 
57660.0, {'gneJ207': -1.1607143}, {'gneJ207': 6}, {'gneJ207': 18}, 
57670.0, {'gneJ207': -2.15625}, {'gneJ207': 9}, {'gneJ207': 25}, 
57680.0, {'gneJ207': -3.450893}, {'gneJ207': 12}, {'gneJ207': 33}, 
57690.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 41}, 
57700.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 45}, 
57710.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 50}, 
57720.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 52}, 
57730.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 57}, 
57740.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 60}, 
57750.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 61}, 
57760.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 64}, 
57770.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57780.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57790.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57800.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57820.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57830.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57840.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57850.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57870.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57880.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57890.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57900.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
57910.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 66}, 
