57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': -0.0625}, {'gneJ207': 1}, {'gneJ207': 2}, 
57640.0, {'gneJ207': -0.20089285}, {'gneJ207': 2}, {'gneJ207': 4}, 
57650.0, {'gneJ207': -0.4732143}, {'gneJ207': 3}, {'gneJ207': 10}, 
57660.0, {'gneJ207': -1.1205357}, {'gneJ207': 6}, {'gneJ207': 19}, 
57670.0, {'gneJ207': -2.1339285}, {'gneJ207': 10}, {'gneJ207': 26}, 
57680.0, {'gneJ207': -3.450893}, {'gneJ207': 12}, {'gneJ207': 33}, 
57690.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 43}, 
57700.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 45}, 
57710.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 45}, 
57720.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 45}, 
57730.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 45}, 
57740.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 45}, 
57750.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 45}, 
57760.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 45}, 
57770.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 32}, 
57780.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 32}, 
57790.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 37}, 
57800.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 40}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 35}, 
57820.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 37}, 
57830.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 43}, 
57840.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 48}, 
57850.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 51}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 48}, 
57870.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 54}, 
57880.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 57}, 
57890.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 52}, 
57900.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 53}, 
57910.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
57920.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
57930.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 53}, 
57940.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 45}, 
57950.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 46}, 
57960.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 51}, 
57970.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 51}, 
57980.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 51}, 
57990.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 51}, 
58000.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 50}, 
58010.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 49}, 
58020.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 41}, 
58030.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 42}, 
58040.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 47}, 
58050.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 47}, 
58060.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 47}, 
58070.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 47}, 
58080.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 47}, 
58090.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 47}, 
58100.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 47}, 
58110.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 44}, 
58120.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 44}, 
58130.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 44}, 
58140.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 44}, 
58150.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 44}, 
58160.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 44}, 
58170.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 44}, 
58180.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 44}, 
58190.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 44}, 
58200.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 37}, 
58210.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 36}, 
58220.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 40}, 
58230.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 33}, 
58240.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 32}, 
58250.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 34}, 
58260.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 26}, 
58270.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 30}, 
58280.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 38}, 
58290.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 47}, 
58300.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 50}, 
58310.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 54}, 
58320.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 59}, 
58330.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58340.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58350.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58360.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58370.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58380.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58390.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58400.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58410.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58420.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58430.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58440.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58450.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58460.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58470.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58480.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 63}, 
58490.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 59}, 
58500.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 59}, 
58510.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 59}, 
58520.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 59}, 
58530.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 59}, 
58540.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 59}, 
58550.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 59}, 
58560.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 50}, 
58570.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 49}, 
58580.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 55}, 
58590.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 55}, 
58600.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 55}, 
58610.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 55}, 
58620.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 55}, 
58630.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 55}, 
58640.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 55}, 
58650.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 55}, 
58660.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 55}, 
58670.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 47}, 
58680.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 47}, 
