57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
57670.0, {'gneJ207': -0.116071425}, {'gneJ207': 4}, {'gneJ207': 5}, 
57680.0, {'gneJ207': -0.116071425}, {'gneJ207': 2}, {'gneJ207': 3}, 
57690.0, {'gneJ207': -0.08035714}, {'gneJ207': 2}, {'gneJ207': 4}, 
57700.0, {'gneJ207': -0.29017857}, {'gneJ207': 2}, {'gneJ207': 6}, 
57710.0, {'gneJ207': -0.26785713}, {'gneJ207': 4}, {'gneJ207': 6}, 
57720.0, {'gneJ207': -0.6026786}, {'gneJ207': 9}, {'gneJ207': 9}, 
57730.0, {'gneJ207': -1.09375}, {'gneJ207': 12}, {'gneJ207': 13}, 
57740.0, {'gneJ207': -1.3973215}, {'gneJ207': 10}, {'gneJ207': 12}, 
57750.0, {'gneJ207': -1.4508928}, {'gneJ207': 11}, {'gneJ207': 13}, 
57760.0, {'gneJ207': -2.0714285}, {'gneJ207': 12}, {'gneJ207': 15}, 
57770.0, {'gneJ207': -2.8526785}, {'gneJ207': 15}, {'gneJ207': 21}, 
57780.0, {'gneJ207': -2.892857}, {'gneJ207': 15}, {'gneJ207': 22}, 
57790.0, {'gneJ207': -3.3839285}, {'gneJ207': 14}, {'gneJ207': 19}, 
57800.0, {'gneJ207': -2.830357}, {'gneJ207': 12}, {'gneJ207': 12}, 
57810.0, {'gneJ207': -2.669643}, {'gneJ207': 10}, {'gneJ207': 10}, 
57820.0, {'gneJ207': -2.5580356}, {'gneJ207': 8}, {'gneJ207': 9}, 
57830.0, {'gneJ207': -2.9955356}, {'gneJ207': 8}, {'gneJ207': 10}, 
57840.0, {'gneJ207': -2.28125}, {'gneJ207': 10}, {'gneJ207': 10}, 
57850.0, {'gneJ207': -1.8169643}, {'gneJ207': 8}, {'gneJ207': 9}, 
57860.0, {'gneJ207': -1.28125}, {'gneJ207': 6}, {'gneJ207': 6}, 
57870.0, {'gneJ207': -0.44642857}, {'gneJ207': 3}, {'gneJ207': 3}, 
57880.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
57890.0, {'gneJ207': -0.116071425}, {'gneJ207': 3}, {'gneJ207': 4}, 
57900.0, {'gneJ207': -0.29464287}, {'gneJ207': 3}, {'gneJ207': 4}, 
57910.0, {'gneJ207': -0.102678575}, {'gneJ207': 1}, {'gneJ207': 1}, 
57920.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
57930.0, {'gneJ207': -0.08928572}, {'gneJ207': 1}, {'gneJ207': 2}, 
57940.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57950.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 1}, 
57960.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57970.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57980.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57990.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
58000.0, {'gneJ207': -0.026785715}, {'gneJ207': 2}, {'gneJ207': 2}, 
58010.0, {'gneJ207': -0.116071425}, {'gneJ207': 2}, {'gneJ207': 2}, 
58020.0, {'gneJ207': -0.20535715}, {'gneJ207': 2}, {'gneJ207': 2}, 
58030.0, {'gneJ207': -0.14285715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58040.0, {'gneJ207': -0.09375}, {'gneJ207': 2}, {'gneJ207': 4}, 
58050.0, {'gneJ207': -0.27232143}, {'gneJ207': 3}, {'gneJ207': 5}, 
58060.0, {'gneJ207': -0.4955357}, {'gneJ207': 3}, {'gneJ207': 5}, 
58070.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58080.0, {'gneJ207': -0.08035714}, {'gneJ207': 2}, {'gneJ207': 4}, 
58090.0, {'gneJ207': -0.2857143}, {'gneJ207': 2}, {'gneJ207': 6}, 
58100.0, {'gneJ207': -0.56696427}, {'gneJ207': 3}, {'gneJ207': 7}, 
58110.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58120.0, {'gneJ207': -0.10714286}, {'gneJ207': 2}, {'gneJ207': 4}, 
58130.0, {'gneJ207': -0.3080357}, {'gneJ207': 3}, {'gneJ207': 5}, 
58140.0, {'gneJ207': -0.53125}, {'gneJ207': 3}, {'gneJ207': 5}, 
58150.0, {'gneJ207': -0.75446427}, {'gneJ207': 3}, {'gneJ207': 5}, 
58160.0, {'gneJ207': -0.98660713}, {'gneJ207': 3}, {'gneJ207': 6}, 
58170.0, {'gneJ207': -1.4017857}, {'gneJ207': 6}, {'gneJ207': 11}, 
58180.0, {'gneJ207': -0.3705357}, {'gneJ207': 3}, {'gneJ207': 5}, 
58190.0, {'gneJ207': -0.61160713}, {'gneJ207': 4}, {'gneJ207': 7}, 
58200.0, {'gneJ207': -0.071428575}, {'gneJ207': 1}, {'gneJ207': 2}, 
58210.0, {'gneJ207': -0.23660715}, {'gneJ207': 4}, {'gneJ207': 8}, 
58220.0, {'gneJ207': -0.15625}, {'gneJ207': 1}, {'gneJ207': 3}, 
58230.0, {'gneJ207': -0.19642857}, {'gneJ207': 1}, {'gneJ207': 3}, 
58240.0, {'gneJ207': -0.13392857}, {'gneJ207': 1}, {'gneJ207': 2}, 
58250.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 2}, 
58260.0, {'gneJ207': -0.05357143}, {'gneJ207': 1}, {'gneJ207': 2}, 
58270.0, {'gneJ207': -0.14285715}, {'gneJ207': 1}, {'gneJ207': 2}, 
58280.0, {'gneJ207': -0.23214285}, {'gneJ207': 1}, {'gneJ207': 2}, 
58290.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 2}, 
58300.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58310.0, {'gneJ207': -0.19196428}, {'gneJ207': 2}, {'gneJ207': 6}, 
58320.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58330.0, {'gneJ207': -0.11160714}, {'gneJ207': 3}, {'gneJ207': 6}, 
58340.0, {'gneJ207': -0.11160714}, {'gneJ207': 1}, {'gneJ207': 3}, 
58350.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
58360.0, {'gneJ207': -0.058035713}, {'gneJ207': 1}, {'gneJ207': 1}, 
58370.0, {'gneJ207': -0.102678575}, {'gneJ207': 1}, {'gneJ207': 1}, 
58380.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 2}, 
58390.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58400.0, {'gneJ207': -0.05357143}, {'gneJ207': 2}, {'gneJ207': 4}, 
58410.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58420.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58430.0, {'gneJ207': -0.0625}, {'gneJ207': 1}, {'gneJ207': 4}, 
58440.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58450.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58460.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
58470.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 2}, 
58480.0, {'gneJ207': -0.08035714}, {'gneJ207': 1}, {'gneJ207': 2}, 
58490.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58500.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
58510.0, {'gneJ207': -0.06696428}, {'gneJ207': 3}, {'gneJ207': 3}, 
58520.0, {'gneJ207': -0.38839287}, {'gneJ207': 9}, {'gneJ207': 10}, 
58530.0, {'gneJ207': -0.54464287}, {'gneJ207': 7}, {'gneJ207': 7}, 
58540.0, {'gneJ207': -0.4419643}, {'gneJ207': 4}, {'gneJ207': 4}, 
58550.0, {'gneJ207': -0.29464287}, {'gneJ207': 2}, {'gneJ207': 2}, 
58560.0, {'gneJ207': -0.035714287}, {'gneJ207': 1}, {'gneJ207': 2}, 
58570.0, {'gneJ207': -0.22321428}, {'gneJ207': 2}, {'gneJ207': 6}, 
58580.0, {'gneJ207': -0.51339287}, {'gneJ207': 3}, {'gneJ207': 7}, 
58590.0, {'gneJ207': -0.58928573}, {'gneJ207': 3}, {'gneJ207': 5}, 
58600.0, {'gneJ207': -0.8125}, {'gneJ207': 3}, {'gneJ207': 5}, 
58610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58620.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 2}, 
58630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58640.0, {'gneJ207': -0.04464286}, {'gneJ207': 2}, {'gneJ207': 3}, 
58650.0, {'gneJ207': -0.29910713}, {'gneJ207': 3}, {'gneJ207': 8}, 
58660.0, {'gneJ207': -0.61160713}, {'gneJ207': 5}, {'gneJ207': 9}, 
58670.0, {'gneJ207': -1.0982143}, {'gneJ207': 5}, {'gneJ207': 11}, 
58680.0, {'gneJ207': -0.36607143}, {'gneJ207': 2}, {'gneJ207': 3}, 
58690.0, {'gneJ207': -0.5}, {'gneJ207': 2}, {'gneJ207': 3}, 
58700.0, {'gneJ207': -0.67410713}, {'gneJ207': 5}, {'gneJ207': 6}, 
