57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': -0.04464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57640.0, {'gneJ207': -0.16964285}, {'gneJ207': 2}, {'gneJ207': 4}, 
57650.0, {'gneJ207': -0.45982143}, {'gneJ207': 3}, {'gneJ207': 9}, 
57660.0, {'gneJ207': -1.1071428}, {'gneJ207': 6}, {'gneJ207': 18}, 
57670.0, {'gneJ207': -2.0714285}, {'gneJ207': 9}, {'gneJ207': 24}, 
57680.0, {'gneJ207': -3.3526785}, {'gneJ207': 13}, {'gneJ207': 34}, 
57690.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 41}, 
57700.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 46}, 
57710.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 51}, 
57720.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 56}, 
57730.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 59}, 
57740.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 60}, 
57750.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 60}, 
57760.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 65}, 
57770.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57780.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57790.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57800.0, {'gneJ207': -4.0}, {'gneJ207': 19}, {'gneJ207': 69}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57820.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57830.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57840.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57850.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57870.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57880.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57890.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57900.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57910.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57920.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57930.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57940.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57950.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57960.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57970.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57980.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
57990.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
58000.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
58010.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
58020.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
58030.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
58040.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
58050.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
58060.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 62}, 
58070.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 49}, 
58080.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 49}, 
58090.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 54}, 
58100.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 54}, 
58110.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 54}, 
58120.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 54}, 
58130.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 54}, 
