57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
57670.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57680.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57690.0, {'gneJ207': -0.15625}, {'gneJ207': 4}, {'gneJ207': 8}, 
57700.0, {'gneJ207': -0.15625}, {'gneJ207': 5}, {'gneJ207': 5}, 
57710.0, {'gneJ207': -0.17410715}, {'gneJ207': 3}, {'gneJ207': 3}, 
57720.0, {'gneJ207': -0.45089287}, {'gneJ207': 6}, {'gneJ207': 9}, 
57730.0, {'gneJ207': -1.0982143}, {'gneJ207': 12}, {'gneJ207': 19}, 
57740.0, {'gneJ207': -1.4241072}, {'gneJ207': 15}, {'gneJ207': 17}, 
57750.0, {'gneJ207': -1.8883928}, {'gneJ207': 15}, {'gneJ207': 17}, 
57760.0, {'gneJ207': -1.8883928}, {'gneJ207': 13}, {'gneJ207': 14}, 
57770.0, {'gneJ207': -2.1651785}, {'gneJ207': 11}, {'gneJ207': 13}, 
57780.0, {'gneJ207': -2.419643}, {'gneJ207': 10}, {'gneJ207': 11}, 
57790.0, {'gneJ207': -2.625}, {'gneJ207': 11}, {'gneJ207': 12}, 
57800.0, {'gneJ207': -2.9642856}, {'gneJ207': 13}, {'gneJ207': 14}, 
57810.0, {'gneJ207': -3.3526785}, {'gneJ207': 12}, {'gneJ207': 12}, 
57820.0, {'gneJ207': -2.794643}, {'gneJ207': 8}, {'gneJ207': 9}, 
57830.0, {'gneJ207': -2.330357}, {'gneJ207': 6}, {'gneJ207': 9}, 
57840.0, {'gneJ207': -1.5044643}, {'gneJ207': 4}, {'gneJ207': 4}, 
57850.0, {'gneJ207': -1.6830357}, {'gneJ207': 4}, {'gneJ207': 4}, 
57860.0, {'gneJ207': -0.80803573}, {'gneJ207': 4}, {'gneJ207': 5}, 
