57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': -0.058035713}, {'gneJ207': 1}, {'gneJ207': 2}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 4}, 
57660.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57670.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57680.0, {'gneJ207': -0.02232143}, {'gneJ207': 2}, {'gneJ207': 2}, 
57690.0, {'gneJ207': -0.20982143}, {'gneJ207': 6}, {'gneJ207': 10}, 
57700.0, {'gneJ207': -0.39285713}, {'gneJ207': 11}, {'gneJ207': 11}, 
57710.0, {'gneJ207': -0.70089287}, {'gneJ207': 11}, {'gneJ207': 11}, 
57720.0, {'gneJ207': -1.0535715}, {'gneJ207': 10}, {'gneJ207': 11}, 
57730.0, {'gneJ207': -1.2276785}, {'gneJ207': 8}, {'gneJ207': 12}, 
57740.0, {'gneJ207': -1.5982143}, {'gneJ207': 11}, {'gneJ207': 14}, 
57750.0, {'gneJ207': -1.9107143}, {'gneJ207': 9}, {'gneJ207': 14}, 
57760.0, {'gneJ207': -1.5848215}, {'gneJ207': 7}, {'gneJ207': 7}, 
57770.0, {'gneJ207': -1.3080357}, {'gneJ207': 4}, {'gneJ207': 5}, 
57780.0, {'gneJ207': -1.59375}, {'gneJ207': 5}, {'gneJ207': 8}, 
57790.0, {'gneJ207': -1.3973215}, {'gneJ207': 7}, {'gneJ207': 9}, 
57800.0, {'gneJ207': -1.8125}, {'gneJ207': 7}, {'gneJ207': 10}, 
57810.0, {'gneJ207': -0.8839286}, {'gneJ207': 6}, {'gneJ207': 6}, 
57820.0, {'gneJ207': -0.49107143}, {'gneJ207': 4}, {'gneJ207': 5}, 
57830.0, {'gneJ207': -0.28125}, {'gneJ207': 2}, {'gneJ207': 2}, 
57840.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
57850.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57860.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
57870.0, {'gneJ207': -0.017857144}, {'gneJ207': 2}, {'gneJ207': 2}, 
57880.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 1}, 
57890.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57900.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57910.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57920.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57930.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
57940.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57950.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
57960.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57970.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57980.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57990.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58000.0, {'gneJ207': -0.05357143}, {'gneJ207': 2}, {'gneJ207': 2}, 
