25210.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25220.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.02232143}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25230.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.12053572}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25240.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.19642857}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25250.0, {'360082': -0.02232143, '360086': -0.03125, 'GS_cluster_2415878664_254486231_359566_359576': -0.2857143}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25260.0, {'360082': -0.02232143, '360086': -0.12053572, 'GS_cluster_2415878664_254486231_359566_359576': -0.4107143}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25270.0, {'360082': -0.07589286, '360086': -0.12053572, 'GS_cluster_2415878664_254486231_359566_359576': -0.54464287}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25280.0, {'360082': -0.125, '360086': -0.20982143, 'GS_cluster_2415878664_254486231_359566_359576': -0.72321427}, {'360082': 3, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 4, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 5}, 
25290.0, {'360082': -0.20982143, '360086': -0.11160714, 'GS_cluster_2415878664_254486231_359566_359576': -0.84375}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 5}, 
25300.0, {'360082': -0.16517857, '360086': -0.17410715, 'GS_cluster_2415878664_254486231_359566_359576': -1.0803572}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25310.0, {'360082': -0.06696428, '360086': -0.29910713, 'GS_cluster_2415878664_254486231_359566_359576': -1.2544643}, {'360082': 3, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 3, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25320.0, {'360082': -0.20089285, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.071428575}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25330.0, {'360082': -0.26785713, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.20089285}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 5}, 
25340.0, {'360082': -0.44642857, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.125}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 5}, 
25350.0, {'360082': -0.102678575, '360086': -0.04017857, 'GS_cluster_2415878664_254486231_359566_359576': -0.13839285}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25360.0, {'360082': -0.19196428, '360086': -0.09375, 'GS_cluster_2415878664_254486231_359566_359576': -0.29910713}, {'360082': 4, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25370.0, {'360082': -0.36160713, '360086': -0.18303572, 'GS_cluster_2415878664_254486231_359566_359576': -0.5223214}, {'360082': 7, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 9, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25380.0, {'360082': -0.76785713, '360086': -0.29910713, 'GS_cluster_2415878664_254486231_359566_359576': -0.02232143}, {'360082': 8, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 13, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25390.0, {'360082': -0.88839287, '360086': -0.44642857, 'GS_cluster_2415878664_254486231_359566_359576': -0.23214285}, {'360082': 8, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 8, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25400.0, {'360082': -0.73660713, '360086': -0.625, 'GS_cluster_2415878664_254486231_359566_359576': -0.22767857}, {'360082': 7, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 8, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25410.0, {'360082': -1.0401785, '360086': -0.56696427, 'GS_cluster_2415878664_254486231_359566_359576': -0.23214285}, {'360082': 8, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 8, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25420.0, {'360082': -1.1919643, '360086': -0.5223214, 'GS_cluster_2415878664_254486231_359566_359576': -0.13839285}, {'360082': 11, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 11, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25430.0, {'360082': -0.9375, '360086': -0.2857143, 'GS_cluster_2415878664_254486231_359566_359576': -0.34375}, {'360082': 11, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 12, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25440.0, {'360082': -1.4151785, '360086': -0.4375, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 11, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 11, '360086': 6, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25450.0, {'360082': -1.6919643, '360086': -0.7276786, 'GS_cluster_2415878664_254486231_359566_359576': -0.04910714}, {'360082': 10, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 11, '360086': 7, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25460.0, {'360082': -2.1294644, '360086': -1.0401785, 'GS_cluster_2415878664_254486231_359566_359576': -0.13839285}, {'360082': 11, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 11, '360086': 7, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25470.0, {'360082': -1.5625, '360086': -1.375, 'GS_cluster_2415878664_254486231_359566_359576': -0.05357143}, {'360082': 8, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 9, '360086': 8, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25480.0, {'360082': -1.6919643, '360086': -1.7321428, 'GS_cluster_2415878664_254486231_359566_359576': -0.15178572}, {'360082': 7, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 10, '360086': 8, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25490.0, {'360082': -1.84375, '360086': -2.1205356, 'GS_cluster_2415878664_254486231_359566_359576': -0.084821425}, {'360082': 6, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 10, '360086': 9, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25500.0, {'360082': -0.92410713, '360086': -2.4732144, 'GS_cluster_2415878664_254486231_359566_359576': -0.33482143}, {'360082': 2, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 6, '360086': 9, 'GS_cluster_2415878664_254486231_359566_359576': 8}, 
25510.0, {'360082': -0.62946427, '360086': -0.29464287, 'GS_cluster_2415878664_254486231_359566_359576': -0.6026786}, {'360082': 5, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 5, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 10}, 
25520.0, {'360082': -0.625, '360086': -0.2767857, 'GS_cluster_2415878664_254486231_359566_359576': -0.3080357}, {'360082': 9, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 10, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25530.0, {'360082': -0.45089287, '360086': -0.4017857, 'GS_cluster_2415878664_254486231_359566_359576': -0.3794643}, {'360082': 5, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 6, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25540.0, {'360082': -0.58928573, '360086': -0.5714286, 'GS_cluster_2415878664_254486231_359566_359576': -0.60714287}, {'360082': 5, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 5, '360086': 6, 'GS_cluster_2415878664_254486231_359566_359576': 11}, 
25550.0, {'360082': -0.30357143, '360086': -0.017857144, 'GS_cluster_2415878664_254486231_359566_359576': -0.76785713}, {'360082': 3, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 3, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 11}, 
25560.0, {'360082': -0.45535713, '360086': -0.125, 'GS_cluster_2415878664_254486231_359566_359576': -1.2901785}, {'360082': 5, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 5, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 13}, 
25570.0, {'360082': -0.54464287, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.99553573}, {'360082': 10, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 10, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 9}, 
25580.0, {'360082': -0.79910713, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.4464285}, {'360082': 13, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 13, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 12}, 
25590.0, {'360082': -0.83035713, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -2.049107}, {'360082': 9, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 10, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 17}, 
25600.0, {'360082': -0.53571427, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.6696428}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 5}, {'360082': 5, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 17}, 
25610.0, {'360082': -0.59375, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.625}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 5, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 18}, 
25620.0, {'360082': -0.60714287, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.6785715}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 14}, 
25630.0, {'360082': -0.22321428, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.2544643}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25640.0, {'360082': -0.29464287, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.51785713}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 13}, 
25650.0, {'360082': -0.16517857, '360086': -0.03125, 'GS_cluster_2415878664_254486231_359566_359576': -1.2767857}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 7}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 18}, 
25660.0, {'360082': -0.51785713, '360086': -0.125, 'GS_cluster_2415878664_254486231_359566_359576': -0.65625}, {'360082': 11, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 11, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 9}, 
25670.0, {'360082': -1.0089285, '360086': -0.21428572, 'GS_cluster_2415878664_254486231_359566_359576': -0.66964287}, {'360082': 16, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 16, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 9}, 
25680.0, {'360082': -1.6651785, '360086': -0.39285713, 'GS_cluster_2415878664_254486231_359566_359576': -0.04464286}, {'360082': 18, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 19, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25690.0, {'360082': -2.294643, '360086': -0.5714286, 'GS_cluster_2415878664_254486231_359566_359576': -0.15178572}, {'360082': 18, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 20, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25700.0, {'360082': -3.0089285, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.35714287}, {'360082': 18, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 18, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 9}, 
25710.0, {'360082': -3.0401785, '360086': -0.0625, 'GS_cluster_2415878664_254486231_359566_359576': -0.8125}, {'360082': 15, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 16, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 13}, 
