25210.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25220.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.03125}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25230.0, {'360082': -0.013392857, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.116071425}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25240.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.04017857}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25250.0, {'360082': 0.0, '360086': -0.013392857, 'GS_cluster_2415878664_254486231_359566_359576': -0.017857144}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25260.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.13392857}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25270.0, {'360082': 0.0, '360086': -0.02232143, 'GS_cluster_2415878664_254486231_359566_359576': -0.026785715}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25280.0, {'360082': -0.04464286, '360086': -0.10714286, 'GS_cluster_2415878664_254486231_359566_359576': -0.017857144}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25290.0, {'360082': -0.03125, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.15625}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25300.0, {'360082': 0.0, '360086': -0.017857144, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25310.0, {'360082': -0.017857144, '360086': -0.02232143, 'GS_cluster_2415878664_254486231_359566_359576': -0.004464286}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25320.0, {'360082': -0.084821425, '360086': -0.04910714, 'GS_cluster_2415878664_254486231_359566_359576': -0.116071425}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25330.0, {'360082': -0.004464286, '360086': -0.017857144, 'GS_cluster_2415878664_254486231_359566_359576': -0.03125}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25340.0, {'360082': -0.03125, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.10714286}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25350.0, {'360082': -0.07589286, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25360.0, {'360082': -0.013392857, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.04464286}, {'360082': 2, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 2, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25370.0, {'360082': -0.02232143, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.21875}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25380.0, {'360082': -0.06696428, '360086': -0.026785715, 'GS_cluster_2415878664_254486231_359566_359576': -0.42410713}, {'360082': 3, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 3, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25390.0, {'360082': -0.017857144, '360086': -0.116071425, 'GS_cluster_2415878664_254486231_359566_359576': -0.79910713}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 10}, 
25400.0, {'360082': -0.05357143, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.2633928}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 11}, 
25410.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.8258928}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 13}, 
25420.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -2.513393}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 17}, 
25430.0, {'360082': -0.013392857, '360086': -0.03125, 'GS_cluster_2415878664_254486231_359566_359576': -3.3125}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 19}, 
25440.0, {'360082': -0.004464286, '360086': -0.07589286, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 20}, 
25450.0, {'360082': 0.0, '360086': -0.12053572, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 22}, 
25460.0, {'360082': 0.0, '360086': -0.19196428, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 0, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 22}, 
25470.0, {'360082': -0.017857144, '360086': -0.28125, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 24}, 
25480.0, {'360082': -0.004464286, '360086': -0.2544643, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 24}, 
25490.0, {'360082': -0.004464286, '360086': -0.004464286, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 5}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 25}, 
