25690.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 21}, {'GS_cluster_357187_359543': 40}, 
25700.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 31}, 
25710.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 15}, {'GS_cluster_357187_359543': 35}, 
25720.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 15}, {'GS_cluster_357187_359543': 43}, 
25730.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 14}, {'GS_cluster_357187_359543': 36}, 
25740.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 19}, {'GS_cluster_357187_359543': 39}, 
25750.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 21}, {'GS_cluster_357187_359543': 51}, 
25760.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 18}, {'GS_cluster_357187_359543': 47}, 
25770.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 39}, 
25780.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 42}, 
25790.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 48}, 
25800.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 15}, {'GS_cluster_357187_359543': 48}, 
25810.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 12}, {'GS_cluster_357187_359543': 39}, 
25820.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 31}, 
25830.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 25}, 
25840.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 28}, 
25850.0, {'GS_cluster_357187_359543': -3.6830356}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 20}, 
25860.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 29}, 
25870.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 27}, 
25880.0, {'GS_cluster_357187_359543': -3.9776785}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 23}, 
25890.0, {'GS_cluster_357187_359543': -1.2366072}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 13}, 
25900.0, {'GS_cluster_357187_359543': -1.7544643}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 17}, 
25910.0, {'GS_cluster_357187_359543': -2.375}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 20}, 
25920.0, {'GS_cluster_357187_359543': -3.142857}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 25}, 
25930.0, {'GS_cluster_357187_359543': -2.53125}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 19}, 
25940.0, {'GS_cluster_357187_359543': -3.138393}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 22}, 
25950.0, {'GS_cluster_357187_359543': -2.9642856}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 20}, 
25960.0, {'GS_cluster_357187_359543': -2.1205356}, {'GS_cluster_357187_359543': 5}, {'GS_cluster_357187_359543': 16}, 
25970.0, {'GS_cluster_357187_359543': -1.3035715}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 15}, 
25980.0, {'GS_cluster_357187_359543': -2.080357}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 20}, 
25990.0, {'GS_cluster_357187_359543': -2.4776785}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 19}, 
26000.0, {'GS_cluster_357187_359543': -3.4910715}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 27}, 
26010.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 23}, 
26020.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 27}, 
26030.0, {'GS_cluster_357187_359543': -3.5892856}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 20}, 
26040.0, {'GS_cluster_357187_359543': -3.705357}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 21}, 
26050.0, {'GS_cluster_357187_359543': -3.8526785}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 16}, 
26060.0, {'GS_cluster_357187_359543': -2.21875}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 16}, 
