57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': -0.04464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
57670.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57680.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 2}, 
57690.0, {'gneJ207': -0.23214285}, {'gneJ207': 4}, {'gneJ207': 9}, 
57700.0, {'gneJ207': -0.83035713}, {'gneJ207': 9}, {'gneJ207': 16}, 
57710.0, {'gneJ207': -1.2098215}, {'gneJ207': 12}, {'gneJ207': 17}, 
57720.0, {'gneJ207': -1.0089285}, {'gneJ207': 12}, {'gneJ207': 12}, 
57730.0, {'gneJ207': -1.1875}, {'gneJ207': 10}, {'gneJ207': 12}, 
57740.0, {'gneJ207': -1.5535715}, {'gneJ207': 9}, {'gneJ207': 13}, 
57750.0, {'gneJ207': -1.6517857}, {'gneJ207': 7}, {'gneJ207': 12}, 
57760.0, {'gneJ207': -1.5714285}, {'gneJ207': 5}, {'gneJ207': 10}, 
57770.0, {'gneJ207': -1.4419643}, {'gneJ207': 4}, {'gneJ207': 11}, 
57780.0, {'gneJ207': -0.6339286}, {'gneJ207': 2}, {'gneJ207': 4}, 
57790.0, {'gneJ207': -0.75}, {'gneJ207': 4}, {'gneJ207': 5}, 
57800.0, {'gneJ207': -0.41517857}, {'gneJ207': 2}, {'gneJ207': 2}, 
57810.0, {'gneJ207': -0.09821428}, {'gneJ207': 1}, {'gneJ207': 1}, 
57820.0, {'gneJ207': -0.14285715}, {'gneJ207': 1}, {'gneJ207': 1}, 
57830.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57840.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57850.0, {'gneJ207': -0.071428575}, {'gneJ207': 3}, {'gneJ207': 4}, 
57860.0, {'gneJ207': -0.14732143}, {'gneJ207': 3}, {'gneJ207': 5}, 
57870.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57880.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
57890.0, {'gneJ207': -0.06696428}, {'gneJ207': 1}, {'gneJ207': 1}, 
57900.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57910.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57920.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 2}, 
57930.0, {'gneJ207': -0.17410715}, {'gneJ207': 2}, {'gneJ207': 3}, 
57940.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57950.0, {'gneJ207': -0.04464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57960.0, {'gneJ207': -0.08928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57970.0, {'gneJ207': -0.13392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
57980.0, {'gneJ207': -0.17857143}, {'gneJ207': 1}, {'gneJ207': 1}, 
57990.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58000.0, {'gneJ207': -0.09821428}, {'gneJ207': 1}, {'gneJ207': 2}, 
58010.0, {'gneJ207': -0.116071425}, {'gneJ207': 2}, {'gneJ207': 2}, 
58020.0, {'gneJ207': -0.20535715}, {'gneJ207': 2}, {'gneJ207': 2}, 
58030.0, {'gneJ207': -0.16071428}, {'gneJ207': 1}, {'gneJ207': 1}, 
58040.0, {'gneJ207': -0.21875}, {'gneJ207': 2}, {'gneJ207': 2}, 
58050.0, {'gneJ207': -0.084821425}, {'gneJ207': 1}, {'gneJ207': 2}, 
58060.0, {'gneJ207': -0.102678575}, {'gneJ207': 1}, {'gneJ207': 1}, 
58070.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
58080.0, {'gneJ207': -0.16964285}, {'gneJ207': 3}, {'gneJ207': 5}, 
58090.0, {'gneJ207': -0.39285713}, {'gneJ207': 3}, {'gneJ207': 5}, 
58100.0, {'gneJ207': -0.084821425}, {'gneJ207': 1}, {'gneJ207': 2}, 
58110.0, {'gneJ207': -0.17410715}, {'gneJ207': 1}, {'gneJ207': 2}, 
