58300.0, {'gneJ207': -0.22767857}, {'gneJ207': 1}, {'gneJ207': 2}, 
58310.0, {'gneJ207': -0.26339287}, {'gneJ207': 2}, {'gneJ207': 4}, 
58320.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58330.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58340.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 2}, 
58350.0, {'gneJ207': -0.06696428}, {'gneJ207': 2}, {'gneJ207': 4}, 
58360.0, {'gneJ207': -0.3125}, {'gneJ207': 3}, {'gneJ207': 7}, 
58370.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58380.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58390.0, {'gneJ207': -0.084821425}, {'gneJ207': 1}, {'gneJ207': 3}, 
58400.0, {'gneJ207': -0.04017857}, {'gneJ207': 2}, {'gneJ207': 2}, 
58410.0, {'gneJ207': -0.058035713}, {'gneJ207': 2}, {'gneJ207': 3}, 
58420.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58430.0, {'gneJ207': -0.25892857}, {'gneJ207': 3}, {'gneJ207': 8}, 
58440.0, {'gneJ207': -0.29910713}, {'gneJ207': 2}, {'gneJ207': 4}, 
58450.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58460.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
58470.0, {'gneJ207': -0.035714287}, {'gneJ207': 1}, {'gneJ207': 2}, 
58480.0, {'gneJ207': -0.1875}, {'gneJ207': 4}, {'gneJ207': 5}, 
58490.0, {'gneJ207': -0.24107143}, {'gneJ207': 2}, {'gneJ207': 3}, 
58500.0, {'gneJ207': -0.4017857}, {'gneJ207': 4}, {'gneJ207': 5}, 
58510.0, {'gneJ207': -0.16517857}, {'gneJ207': 5}, {'gneJ207': 5}, 
58520.0, {'gneJ207': -0.33482143}, {'gneJ207': 7}, {'gneJ207': 8}, 
58530.0, {'gneJ207': -0.5401786}, {'gneJ207': 7}, {'gneJ207': 9}, 
58540.0, {'gneJ207': -0.75}, {'gneJ207': 5}, {'gneJ207': 7}, 
58550.0, {'gneJ207': -0.55803573}, {'gneJ207': 3}, {'gneJ207': 4}, 
58560.0, {'gneJ207': -0.60714287}, {'gneJ207': 5}, {'gneJ207': 8}, 
58570.0, {'gneJ207': -0.33482143}, {'gneJ207': 3}, {'gneJ207': 4}, 
58580.0, {'gneJ207': -0.2857143}, {'gneJ207': 3}, {'gneJ207': 4}, 
58590.0, {'gneJ207': -0.12053572}, {'gneJ207': 1}, {'gneJ207': 1}, 
58600.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58620.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 2}, 
58630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58640.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 3}, 
58650.0, {'gneJ207': -0.16964285}, {'gneJ207': 3}, {'gneJ207': 6}, 
58660.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58670.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58680.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58690.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58700.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
58710.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 1}, 
58720.0, {'gneJ207': -0.07589286}, {'gneJ207': 1}, {'gneJ207': 1}, 
58730.0, {'gneJ207': -0.12053572}, {'gneJ207': 1}, {'gneJ207': 1}, 
58740.0, {'gneJ207': -0.16517857}, {'gneJ207': 1}, {'gneJ207': 1}, 
58750.0, {'gneJ207': -0.05357143}, {'gneJ207': 1}, {'gneJ207': 2}, 
58760.0, {'gneJ207': -0.1875}, {'gneJ207': 2}, {'gneJ207': 4}, 
58770.0, {'gneJ207': -0.40625}, {'gneJ207': 2}, {'gneJ207': 6}, 
58780.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58790.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 1}, 
58800.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
58810.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58820.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58830.0, {'gneJ207': -0.05357143}, {'gneJ207': 1}, {'gneJ207': 2}, 
58840.0, {'gneJ207': -0.22767857}, {'gneJ207': 2}, {'gneJ207': 4}, 
58850.0, {'gneJ207': -0.4642857}, {'gneJ207': 3}, {'gneJ207': 8}, 
58860.0, {'gneJ207': -0.8973214}, {'gneJ207': 4}, {'gneJ207': 12}, 
58870.0, {'gneJ207': -1.5267857}, {'gneJ207': 6}, {'gneJ207': 17}, 
58880.0, {'gneJ207': -0.3705357}, {'gneJ207': 3}, {'gneJ207': 6}, 
58890.0, {'gneJ207': -0.06696428}, {'gneJ207': 2}, {'gneJ207': 4}, 
58900.0, {'gneJ207': -0.035714287}, {'gneJ207': 2}, {'gneJ207': 2}, 
58910.0, {'gneJ207': -0.15178572}, {'gneJ207': 2}, {'gneJ207': 5}, 
58920.0, {'gneJ207': -0.102678575}, {'gneJ207': 1}, {'gneJ207': 1}, 
58930.0, {'gneJ207': -0.14732143}, {'gneJ207': 1}, {'gneJ207': 1}, 
58940.0, {'gneJ207': -0.06696428}, {'gneJ207': 2}, {'gneJ207': 4}, 
58950.0, {'gneJ207': -0.0625}, {'gneJ207': 1}, {'gneJ207': 2}, 
58960.0, {'gneJ207': -0.15178572}, {'gneJ207': 1}, {'gneJ207': 2}, 
58970.0, {'gneJ207': -0.24107143}, {'gneJ207': 1}, {'gneJ207': 2}, 
58980.0, {'gneJ207': -0.33035713}, {'gneJ207': 1}, {'gneJ207': 2}, 
58990.0, {'gneJ207': -0.41964287}, {'gneJ207': 1}, {'gneJ207': 2}, 
59000.0, {'gneJ207': -0.25}, {'gneJ207': 1}, {'gneJ207': 1}, 
59010.0, {'gneJ207': -0.035714287}, {'gneJ207': 1}, {'gneJ207': 2}, 
59020.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 1}, 
59030.0, {'gneJ207': -0.035714287}, {'gneJ207': 1}, {'gneJ207': 2}, 
59040.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59050.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 1}, 
59060.0, {'gneJ207': -0.084821425}, {'gneJ207': 1}, {'gneJ207': 1}, 
59070.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
59080.0, {'gneJ207': -0.0625}, {'gneJ207': 1}, {'gneJ207': 2}, 
59090.0, {'gneJ207': -0.16964285}, {'gneJ207': 1}, {'gneJ207': 3}, 
59100.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
59110.0, {'gneJ207': -0.08928572}, {'gneJ207': 1}, {'gneJ207': 2}, 
59120.0, {'gneJ207': -0.22321428}, {'gneJ207': 3}, {'gneJ207': 5}, 
59130.0, {'gneJ207': -0.3125}, {'gneJ207': 3}, {'gneJ207': 5}, 
59140.0, {'gneJ207': -0.20089285}, {'gneJ207': 1}, {'gneJ207': 5}, 
59150.0, {'gneJ207': -0.084821425}, {'gneJ207': 2}, {'gneJ207': 2}, 
59160.0, {'gneJ207': -0.17410715}, {'gneJ207': 2}, {'gneJ207': 2}, 
59170.0, {'gneJ207': -0.29017857}, {'gneJ207': 2}, {'gneJ207': 3}, 
59180.0, {'gneJ207': -0.24553572}, {'gneJ207': 1}, {'gneJ207': 4}, 
59190.0, {'gneJ207': -0.3125}, {'gneJ207': 1}, {'gneJ207': 2}, 
59200.0, {'gneJ207': -0.05357143}, {'gneJ207': 2}, {'gneJ207': 3}, 
59210.0, {'gneJ207': -0.13392857}, {'gneJ207': 2}, {'gneJ207': 4}, 
59220.0, {'gneJ207': -0.20089285}, {'gneJ207': 2}, {'gneJ207': 4}, 
59230.0, {'gneJ207': -0.25}, {'gneJ207': 2}, {'gneJ207': 3}, 
59240.0, {'gneJ207': -0.38392857}, {'gneJ207': 2}, {'gneJ207': 3}, 
59250.0, {'gneJ207': -0.08928572}, {'gneJ207': 1}, {'gneJ207': 4}, 
59260.0, {'gneJ207': -0.30357143}, {'gneJ207': 2}, {'gneJ207': 5}, 
59270.0, {'gneJ207': -0.36160713}, {'gneJ207': 3}, {'gneJ207': 7}, 
59280.0, {'gneJ207': -0.09821428}, {'gneJ207': 1}, {'gneJ207': 2}, 
59290.0, {'gneJ207': -0.1875}, {'gneJ207': 1}, {'gneJ207': 2}, 
59300.0, {'gneJ207': -0.12946428}, {'gneJ207': 1}, {'gneJ207': 2}, 
59310.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59320.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59330.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 2}, 
59340.0, {'gneJ207': -0.17857143}, {'gneJ207': 2}, {'gneJ207': 4}, 
59350.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59360.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 2}, 
59370.0, {'gneJ207': -0.19196428}, {'gneJ207': 2}, {'gneJ207': 4}, 
59380.0, {'gneJ207': -0.3705357}, {'gneJ207': 2}, {'gneJ207': 4}, 
59390.0, {'gneJ207': -0.54910713}, {'gneJ207': 2}, {'gneJ207': 4}, 
59400.0, {'gneJ207': -0.7276786}, {'gneJ207': 2}, {'gneJ207': 4}, 
59410.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59420.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59430.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
59440.0, {'gneJ207': -0.058035713}, {'gneJ207': 1}, {'gneJ207': 1}, 
59450.0, {'gneJ207': -0.102678575}, {'gneJ207': 1}, {'gneJ207': 1}, 
59460.0, {'gneJ207': -0.14732143}, {'gneJ207': 1}, {'gneJ207': 1}, 
59470.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 2}, 
59480.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
59490.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59500.0, {'gneJ207': -0.13839285}, {'gneJ207': 2}, {'gneJ207': 4}, 
59510.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59520.0, {'gneJ207': -0.058035713}, {'gneJ207': 2}, {'gneJ207': 3}, 
59530.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59540.0, {'gneJ207': -0.08035714}, {'gneJ207': 2}, {'gneJ207': 4}, 
59550.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
59560.0, {'gneJ207': -0.116071425}, {'gneJ207': 3}, {'gneJ207': 7}, 
59570.0, {'gneJ207': -0.35714287}, {'gneJ207': 3}, {'gneJ207': 6}, 
59580.0, {'gneJ207': -0.625}, {'gneJ207': 3}, {'gneJ207': 6}, 
