57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': -0.058035713}, {'gneJ207': 1}, {'gneJ207': 2}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': -0.06696428}, {'gneJ207': 2}, {'gneJ207': 6}, 
57660.0, {'gneJ207': -0.18303572}, {'gneJ207': 3}, {'gneJ207': 6}, 
57670.0, {'gneJ207': -0.45535713}, {'gneJ207': 3}, {'gneJ207': 7}, 
57680.0, {'gneJ207': -0.75}, {'gneJ207': 4}, {'gneJ207': 8}, 
57690.0, {'gneJ207': -1.28125}, {'gneJ207': 5}, {'gneJ207': 17}, 
57700.0, {'gneJ207': -1.8660715}, {'gneJ207': 6}, {'gneJ207': 17}, 
57710.0, {'gneJ207': -2.6607144}, {'gneJ207': 8}, {'gneJ207': 20}, 
57720.0, {'gneJ207': -1.8348215}, {'gneJ207': 10}, {'gneJ207': 18}, 
57730.0, {'gneJ207': -1.1294643}, {'gneJ207': 13}, {'gneJ207': 15}, 
57740.0, {'gneJ207': -1.8125}, {'gneJ207': 16}, {'gneJ207': 17}, 
57750.0, {'gneJ207': -2.294643}, {'gneJ207': 16}, {'gneJ207': 18}, 
57760.0, {'gneJ207': -2.6026785}, {'gneJ207': 16}, {'gneJ207': 18}, 
57770.0, {'gneJ207': -2.9642856}, {'gneJ207': 15}, {'gneJ207': 19}, 
57780.0, {'gneJ207': -3.78125}, {'gneJ207': 16}, {'gneJ207': 22}, 
57790.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 22}, 
57800.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 23}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 24}, 
57820.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 26}, 
57830.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 27}, 
57840.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 20}, 
57850.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 24}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 25}, 
57870.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 23}, 
57880.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 27}, 
57890.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 23}, 
57900.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 22}, 
57910.0, {'gneJ207': -4.0}, {'gneJ207': 11}, {'gneJ207': 21}, 
57920.0, {'gneJ207': -4.0}, {'gneJ207': 9}, {'gneJ207': 13}, 
57930.0, {'gneJ207': -4.0}, {'gneJ207': 7}, {'gneJ207': 12}, 
57940.0, {'gneJ207': -3.5267856}, {'gneJ207': 4}, {'gneJ207': 9}, 
57950.0, {'gneJ207': -2.1651785}, {'gneJ207': 3}, {'gneJ207': 8}, 
57960.0, {'gneJ207': -1.5669643}, {'gneJ207': 4}, {'gneJ207': 8}, 
57970.0, {'gneJ207': -0.9776786}, {'gneJ207': 4}, {'gneJ207': 8}, 
57980.0, {'gneJ207': -0.09821428}, {'gneJ207': 1}, {'gneJ207': 2}, 
57990.0, {'gneJ207': -0.20982143}, {'gneJ207': 2}, {'gneJ207': 4}, 
58000.0, {'gneJ207': -0.38839287}, {'gneJ207': 2}, {'gneJ207': 4}, 
58010.0, {'gneJ207': -0.6339286}, {'gneJ207': 3}, {'gneJ207': 6}, 
58020.0, {'gneJ207': -0.94196427}, {'gneJ207': 3}, {'gneJ207': 7}, 
58030.0, {'gneJ207': -1.2767857}, {'gneJ207': 4}, {'gneJ207': 9}, 
58040.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 1}, 
58050.0, {'gneJ207': -0.22321428}, {'gneJ207': 3}, {'gneJ207': 6}, 
58060.0, {'gneJ207': -0.49107143}, {'gneJ207': 3}, {'gneJ207': 6}, 
58070.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58080.0, {'gneJ207': -0.116071425}, {'gneJ207': 2}, {'gneJ207': 5}, 
58090.0, {'gneJ207': -0.06696428}, {'gneJ207': 1}, {'gneJ207': 1}, 
58100.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
58110.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
58120.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
58130.0, {'gneJ207': -0.08035714}, {'gneJ207': 1}, {'gneJ207': 2}, 
58140.0, {'gneJ207': -0.16964285}, {'gneJ207': 1}, {'gneJ207': 2}, 
58150.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58160.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
58170.0, {'gneJ207': -0.16071428}, {'gneJ207': 3}, {'gneJ207': 5}, 
58180.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58190.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
58200.0, {'gneJ207': -0.08928572}, {'gneJ207': 1}, {'gneJ207': 2}, 
58210.0, {'gneJ207': -0.17857143}, {'gneJ207': 1}, {'gneJ207': 2}, 
58220.0, {'gneJ207': -0.12946428}, {'gneJ207': 1}, {'gneJ207': 2}, 
58230.0, {'gneJ207': -0.18303572}, {'gneJ207': 1}, {'gneJ207': 2}, 
58240.0, {'gneJ207': -0.06696428}, {'gneJ207': 1}, {'gneJ207': 1}, 
58250.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
58260.0, {'gneJ207': -0.17857143}, {'gneJ207': 3}, {'gneJ207': 7}, 
58270.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 1}, 
58280.0, {'gneJ207': -0.07589286}, {'gneJ207': 1}, {'gneJ207': 1}, 
58290.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 2}, 
