25320.0, {'247379907': -2.924107, '252017285': 0.0, '256201389': 0.0, '26110729': -2.25, '280120513': -0.035714287, '32319828': 0.0, '62426694': -0.73660713, 'cluster_1098574052_1098574061_247379905': -2.549107}, {'247379907': 6, '252017285': 0, '256201389': 0, '26110729': 5, '280120513': 2, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 12}, {'247379907': 11, '252017285': 0, '256201389': 0, '26110729': 8, '280120513': 2, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 14}, 
25330.0, {'247379907': -3.4151785, '252017285': -0.008928572, '256201389': 0.0, '26110729': -2.607143, '280120513': -0.125, '32319828': 0.0, '62426694': -1.0, 'cluster_1098574052_1098574061_247379905': -2.3794644}, {'247379907': 6, '252017285': 1, '256201389': 0, '26110729': 5, '280120513': 2, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 10}, {'247379907': 11, '252017285': 1, '256201389': 0, '26110729': 8, '280120513': 2, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 11}, 
25340.0, {'247379907': -3.9285715, '252017285': -0.05357143, '256201389': 0.0, '26110729': -3.0044644, '280120513': -0.21428572, '32319828': 0.0, '62426694': -1.2991072, 'cluster_1098574052_1098574061_247379905': -2.544643}, {'247379907': 7, '252017285': 1, '256201389': 0, '26110729': 5, '280120513': 2, '32319828': 0, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 9}, {'247379907': 12, '252017285': 1, '256201389': 0, '26110729': 10, '280120513': 2, '32319828': 0, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 10}, 
25350.0, {'247379907': -4.0, '252017285': -0.09821428, '256201389': 0.0, '26110729': -3.4598215, '280120513': -0.30357143, '32319828': 0.0, '62426694': -1.6116072, 'cluster_1098574052_1098574061_247379905': -2.642857}, {'247379907': 7, '252017285': 1, '256201389': 0, '26110729': 5, '280120513': 2, '32319828': 0, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 8}, {'247379907': 14, '252017285': 1, '256201389': 0, '26110729': 11, '280120513': 2, '32319828': 0, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 11}, 
25360.0, {'247379907': -4.0, '252017285': -0.14285715, '256201389': 0.0, '26110729': -3.9955356, '280120513': -0.39285713, '32319828': 0.0, '62426694': -1.9419643, 'cluster_1098574052_1098574061_247379905': -2.7276785}, {'247379907': 7, '252017285': 1, '256201389': 0, '26110729': 5, '280120513': 2, '32319828': 0, '62426694': 8, 'cluster_1098574052_1098574061_247379905': 7}, {'247379907': 14, '252017285': 1, '256201389': 0, '26110729': 12, '280120513': 2, '32319828': 0, '62426694': 8, 'cluster_1098574052_1098574061_247379905': 10}, 
25370.0, {'247379907': -4.0, '252017285': -0.23214285, '256201389': 0.0, '26110729': -4.0, '280120513': -0.48214287, '32319828': 0.0, '62426694': -2.34375, 'cluster_1098574052_1098574061_247379905': -3.2142856}, {'247379907': 8, '252017285': 2, '256201389': 0, '26110729': 5, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 7}, {'247379907': 15, '252017285': 2, '256201389': 0, '26110729': 12, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 11}, 
25380.0, {'247379907': -4.0, '252017285': -0.32142857, '256201389': 0.0, '26110729': -4.0, '280120513': -0.5714286, '32319828': 0.0, '62426694': -2.7901785, 'cluster_1098574052_1098574061_247379905': -3.7232144}, {'247379907': 8, '252017285': 2, '256201389': 0, '26110729': 5, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 8}, {'247379907': 15, '252017285': 2, '256201389': 0, '26110729': 12, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 12}, 
25390.0, {'247379907': -4.0, '252017285': -0.42857143, '256201389': 0.0, '26110729': -4.0, '280120513': -0.66071427, '32319828': 0.0, '62426694': -3.236607, 'cluster_1098574052_1098574061_247379905': -2.7142856}, {'247379907': 9, '252017285': 2, '256201389': 0, '26110729': 5, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 6}, {'247379907': 16, '252017285': 3, '256201389': 0, '26110729': 12, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 7}, 
25400.0, {'247379907': -4.0, '252017285': -0.5625, '256201389': 0.0, '26110729': -4.0, '280120513': -0.75, '32319828': 0.0, '62426694': -3.6830356, 'cluster_1098574052_1098574061_247379905': -2.4732144}, {'247379907': 9, '252017285': 2, '256201389': 0, '26110729': 6, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 5}, {'247379907': 16, '252017285': 3, '256201389': 0, '26110729': 13, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 6}, 
25410.0, {'247379907': -4.0, '252017285': -0.6964286, '256201389': 0.0, '26110729': -4.0, '280120513': -0.83928573, '32319828': 0.0, '62426694': -4.0, 'cluster_1098574052_1098574061_247379905': -2.174107}, {'247379907': 9, '252017285': 2, '256201389': 0, '26110729': 6, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 4}, {'247379907': 16, '252017285': 3, '256201389': 0, '26110729': 14, '280120513': 2, '32319828': 0, '62426694': 10, 'cluster_1098574052_1098574061_247379905': 6}, 
